This file was created by CMPT_ME_BEME_RETS using the 201011 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

        Mkt-RF     SMB     HML      RF
193201   -1.31    3.77   10.69    0.23
193202    5.37   -1.33   -5.12    0.23
193203  -11.03    1.73   -1.00    0.16
193204  -18.03    1.73   -0.91    0.11
193205  -20.81    4.48   -4.03    0.06
193206   -0.53   -0.49    5.49    0.02
193207   33.72   -5.95   35.48    0.03
193208   36.57   19.24   27.74    0.03
193209   -3.12   -2.45   -6.41    0.03
193210  -13.14   -2.63   -9.98    0.02
193211   -5.59    1.40  -12.26    0.02
193212    4.57   -9.72   -6.92    0.01
193301    0.97   -1.02    8.25    0.01
193302  -15.00   -3.26   -2.90   -0.03
193303    3.36    4.90    6.98    0.04
193304   38.27    5.69   18.34    0.10
193305   21.15   39.04   15.19    0.04
193306   13.42    8.46   -2.72    0.02
193307   -9.63   -0.41    0.59    0.02
193308   12.10   -5.78    3.78    0.03
193309  -10.49    0.25  -13.45    0.02
193310   -8.33    0.40   -8.55    0.01
193311    9.97   -6.85    2.10    0.02
193312    1.98    0.67   -1.41    0.02
193401   12.93   11.17   16.42    0.05
193402   -2.35    5.09    2.51    0.02
193403    0.46    2.64   -3.63    0.02
193404   -1.80    3.36   -5.02    0.01
193405   -7.11    0.18   -7.12    0.01
193406    2.51   -2.38   -2.20    0.01
193407  -10.83   -6.42  -12.06    0.01
193408    5.95    4.59    1.86    0.01
193409   -0.31   -1.51   -0.32    0.01
193410   -1.94    1.26   -4.63    0.01
193411    8.40    7.56   -4.26    0.01
193412    0.38    2.94   -3.29    0.01
193501   -3.29    1.09   -2.22    0.01
193502   -1.88    0.50   -7.16    0.02
193503   -3.71   -3.77   -4.82    0.01
193504    8.91   -2.09    5.09    0.01
193505    3.47   -3.91    1.89    0.01
193506    5.52   -5.54    4.27    0.01
193507    7.35    2.97    4.99    0.01
193508    2.60    7.52    5.14    0.01
193509    2.58    0.59   -4.83    0.01
193510    7.12    2.30   -0.43    0.01
193511    5.17    5.66   10.53    0.02
193512    4.60    0.96    0.27    0.01
193601    6.60    6.43   10.09    0.01
193602    2.56    0.77    3.98    0.01
193603    0.92    1.10   -2.23    0.02
193604   -8.07   -6.81   -2.18    0.02
193605    5.01    0.81    2.69    0.02
193606    2.57   -3.20   -0.97    0.03
193607    6.45    1.12    1.35    0.01
193608    1.06   -0.09    3.84    0.02
193609    1.42    3.12   -0.32    0.01
193610    6.89   -2.19    1.61    0.02
193611    3.32    8.34   -1.01    0.01
193612    0.21    3.67    4.96    0.00
193701    3.24    4.21    3.22    0.01
193702    1.28    0.63    5.94    0.02
193703   -0.36   -2.15    7.05    0.01
193704   -7.45   -3.40   -4.91    0.03
193705   -0.92   -0.74   -3.17    0.06
193706   -4.19   -3.05   -3.56    0.03
193707    8.86    1.17    0.15    0.03
193708   -4.88    0.51   -1.99    0.02
193709  -13.58   -6.76   -4.54    0.04
193710   -9.49    0.51   -1.53    0.02
193711   -8.39   -3.24    0.22    0.02
193712   -4.01   -7.80   -0.85    0.00
193801    0.76    5.19   -2.22    0.00
193802    5.79    0.60   -1.96    0.00
193803  -23.70   -3.56   -4.41   -0.01
193804   14.55    6.58   -0.35    0.01
193805   -3.92   -2.38   -0.42    0.00
193806   23.61    3.53    2.11    0.00
193807    7.20    6.72    0.78   -0.01
193808   -2.72   -2.46   -4.26    0.00
193809    0.84   -2.53   -1.26    0.02
193810    7.77    6.62    3.98    0.01
193811   -1.77   -2.42   -0.76   -0.06
193812    4.10   -1.85    0.77    0.00
193901   -5.95   -1.43   -3.52   -0.01
193902    3.48    0.31    3.23    0.01
193903  -11.91   -5.41   -8.31   -0.01
193904   -0.23    1.97    0.29    0.00
193905    6.86    3.87   -0.08    0.01
193906   -5.29   -1.68   -5.54    0.01
193907   10.18    4.62    0.55    0.00
193908   -6.60   -4.50   -2.99   -0.01
193909   15.95   18.77   23.27    0.01
193910   -0.38    0.26   -4.66    0.00
193911   -3.68   -4.43   -6.54    0.00
193912    3.03    0.67   -3.84    0.00
194001   -2.40    0.21   -0.75    0.00
194002    1.37    2.32   -0.44    0.00
194003    1.89    1.63   -1.12    0.00
194004    0.12    3.57   -0.28    0.00
194005  -22.01   -6.21   -4.04   -0.02
194006    6.67   -2.34    4.80    0.00
194007    3.21    0.87   -0.57    0.01
194008    2.41    0.19    0.47   -0.01
194009    2.30    3.39   -1.70    0.00
194010    2.97   -0.17    5.43    0.00
194011   -1.63    2.06    0.49    0.00
194012    0.68   -2.41   -1.31    0.00
194101   -4.04    0.85    3.22   -0.01
194102   -1.47   -1.21    1.05   -0.01
194103    0.95    0.12    2.95    0.01
194104   -5.30   -1.69    3.43   -0.01
194105    1.39   -0.83    0.52    0.00
194106    5.87    1.47    0.66    0.00
194107    5.92    5.74    7.25    0.03
194108   -0.06   -0.16   -1.20    0.01
194109   -0.76   -1.43    0.28    0.01
194110   -5.18   -2.10    1.31    0.00
194111   -1.94   -1.05   -0.64    0.00
194112   -4.68   -3.33   -5.04    0.01
194201    0.70    7.51    9.93    0.02
194202   -2.42    1.69   -1.06    0.01
194203   -6.58    2.29   -1.22    0.01
194204   -4.32   -1.03    1.87    0.01
194205    6.07   -3.03   -2.97    0.03
194206    2.53   -0.90    0.25    0.02
194207    3.46   -0.33    2.56    0.03
194208    1.84   -0.39    1.94    0.03
194209    2.60    0.14    3.40    0.03
194210    6.74    1.39    6.68    0.03
194211    0.22   -0.77   -5.35    0.03
194212    5.01   -2.09    0.78    0.03
194301    7.30    8.34    7.66    0.03
194302    5.96    4.47    6.41    0.03
194303    6.18    4.66    5.52    0.03
194304    0.66    1.92    6.36    0.03
194305    5.69    4.20    3.13    0.03
194306    1.66   -0.63   -0.95    0.03
194307   -4.65   -2.68   -2.47    0.03
194308    1.27   -0.80   -0.88    0.03
194309    2.42    1.31    1.35    0.03
194310   -1.25    0.90    1.33    0.03
194311   -5.88   -1.58   -4.87    0.03
194312    6.33    3.29    3.13    0.03
194401    1.78    2.51    2.75    0.03
194402    0.34   -0.28    0.74    0.03
194403    2.42    1.86    3.05    0.02
194404   -1.66   -1.41   -0.97    0.03
194405    5.07    1.49    1.31    0.03
194406    5.59    4.12    2.54    0.03
194407   -1.55    0.73   -0.62    0.03
194408    1.56    2.11   -1.30    0.03
194409    0.00    0.58   -0.97    0.02
194410    0.22   -0.24   -0.24    0.03
194411    1.62    0.46    1.74    0.03
194412    4.10    1.61    6.63    0.02
194501    1.89    2.85    0.62    0.03
194502    6.41    1.54    4.33    0.02
194503   -3.89   -1.80   -1.58    0.02
194504    7.72    0.22    3.98    0.03
194505    1.83    1.31    1.16    0.03
194506    0.32    2.95    4.42    0.02
194507   -2.24   -1.68   -2.52    0.03
194508    6.08    1.49   -4.32    0.03
194509    4.78    1.94    0.26    0.03
194510    3.87    2.46    1.68    0.03
194511    5.43    3.82    4.43    0.02
194512    1.15    2.66   -2.09    0.03
194601    6.30    4.02    1.89    0.03
194602   -5.82   -0.77   -1.37    0.03
194603    5.84    0.30   -0.80    0.03
194604    4.26    2.21   -0.22    0.03
194605    3.96    1.47    1.74    0.03
194606   -3.94   -1.53    0.01    0.03
194607   -2.58   -2.11    0.03    0.03
194608   -6.42   -1.83    0.17    0.03
194609  -10.05   -4.20   -2.28    0.03
194610   -1.45   -0.26    3.50    0.03
194611    0.09   -0.46    1.24    0.03
194612    5.06    0.05   -1.15    0.03
194701    1.48    1.69   -0.66    0.03
194702   -1.19    0.68   -0.25    0.03
194703   -1.74   -1.68    0.47    0.03
194704   -4.82   -4.09    0.75    0.03
194705   -1.03   -3.30    0.15    0.03
194706    5.34   -0.30   -0.37    0.03
194707    4.09    1.51    2.92    0.03
194708   -1.78    0.39    0.13    0.03
194709   -0.50    1.56    1.47    0.06
194710    2.40    0.57    0.08    0.06
194711   -1.89   -1.77    0.99    0.06
194712    2.94   -2.38    3.91    0.08
194801   -3.80    2.40    1.15    0.07
194802   -4.41   -1.73    0.01    0.07
194803    8.19    0.15    4.54    0.09
194804    3.70   -1.66    4.07    0.08
194805    7.38    0.99   -1.16    0.08
194806   -0.11   -1.77    2.64    0.09
194807   -5.12   -0.34    0.11    0.08
194808    0.30   -1.10    0.24    0.09
194809   -2.99   -1.28   -1.80    0.04
194810    5.97   -1.50    0.63    0.04
194811   -9.10   -0.62   -4.50    0.04
194812    3.18   -2.78   -1.80    0.04
194901    0.20    1.64    1.35    0.10
194902   -3.04   -1.81   -0.82    0.09
194903    4.05    2.32    1.52    0.10
194904   -1.88   -0.97   -1.06    0.09
194905   -2.84   -0.84   -2.55    0.10
194906    0.21   -0.91   -1.78    0.10
194907    5.49    0.60    0.43    0.09
194908    2.57    0.20   -0.41    0.09
194909    3.09    1.00    0.18    0.09
194910    3.03    1.05   -0.41    0.09
194911    1.80   -0.96   -0.88    0.08
194912    5.12    2.09    1.66    0.09
195001    1.64    3.36    0.19    0.09
195002    1.37    0.11   -0.72    0.09
195003    1.12   -1.37   -2.75    0.10
195004    3.94    1.90    1.38    0.09
195005    4.27   -2.06    0.44    0.10
195006   -5.89   -2.38   -0.75    0.10
195007    1.51    0.55   13.47    0.10
195008    4.97    0.80   -1.45    0.10
195009    4.78    0.52   -0.93    0.10
195010   -0.23   -0.52    1.42    0.12
195011    2.74   -0.85    3.26    0.11
195012    5.66    1.50    7.22    0.11
195101    5.69    1.76    3.79    0.13
195102    1.34    0.14   -2.92    0.10
195103   -2.20   -0.67   -4.17    0.11
195104    4.83   -1.46    3.29    0.13
195105   -2.38    0.05   -1.38    0.12
195106   -2.65   -1.97   -3.99    0.12
195107    6.99   -1.87    1.95    0.13
195108    4.38    0.84    0.21    0.13
195109    0.80    2.00    0.72    0.12
195110   -2.40   -0.41    0.11    0.16
195111    0.48   -0.31    0.38    0.11
195112    3.37   -2.05   -1.91    0.12
195201    1.54   -0.74    1.87    0.15
195202   -2.62    0.67   -0.26    0.12
195203    4.45   -2.98    2.26    0.11
195204   -5.01    0.39    0.26    0.12
195205    3.16   -1.05    0.15    0.13
195206    3.78   -1.60    1.19    0.15
195207    1.00   -0.32   -0.35    0.15
195208   -0.81    1.16   -0.12    0.15
195209   -2.06    1.23   -1.64    0.16
195210   -0.69   -1.10   -0.30    0.14
195211    5.78   -0.63    1.08    0.10
195212    2.96   -1.41    0.18    0.16
195301   -0.29    3.50    1.25    0.16
195302   -0.31    2.20   -0.10    0.14
195303   -1.52   -0.01   -1.01    0.18
195304   -2.91    0.31    1.48    0.16
195305    0.54   -0.08    0.14    0.17
195306   -1.85   -1.75   -0.49    0.18
195307    2.38   -1.00   -0.37    0.15
195308   -4.58    0.42   -3.62    0.17
195309    0.15   -0.77   -2.59    0.16
195310    4.58   -1.37    0.08    0.13
195311    2.75   -1.22   -0.35    0.08
195312   -0.05   -0.75   -2.96    0.13
195401    5.14    0.47    3.48    0.11
195402    1.68   -0.19   -0.24    0.07
195403    3.65   -0.50   -1.53    0.08
195404    4.20   -3.45   -0.50    0.09
195405    3.11    0.38    2.54    0.05
195406    1.09    0.40    0.01    0.06
195407    4.99    0.93    4.29    0.05
195408   -2.30    2.73   -1.68    0.05
195409    6.34   -2.44    0.58    0.09
195410   -1.69    0.51    0.72    0.07
195411    9.47   -2.46    4.01    0.06
195412    5.45    2.12    5.68    0.08
195501    0.62    0.32    2.04    0.08
195502    3.04    1.45    0.76    0.09
195503   -0.21   -0.67    1.97    0.10
195504    3.13   -1.75    0.87    0.10
195505    1.05   -0.24   -0.79    0.14
195506    6.48   -4.54    1.72    0.10
195507    1.93   -1.12    0.33    0.10
195508    0.27   -0.44    0.71    0.16
195509   -0.36    0.30   -1.01    0.16
195510   -2.75    1.50   -0.11    0.18
195511    6.99   -2.15    0.29    0.17
195512    1.46    2.15   -2.36    0.18
195601   -3.02    0.35    0.96    0.22
195602    3.76   -0.95   -0.40    0.19
195603    6.67   -1.96   -0.79    0.15
195604    0.32   -0.01   -0.17    0.19
195605   -5.15    1.38   -1.20    0.23
195606    3.52   -1.44   -1.13    0.20
195607    4.86   -1.82    0.20    0.22
195608   -3.20    2.25   -1.18    0.17
195609   -5.15    1.66    1.77    0.18
195610    0.47   -0.16   -0.06    0.25
195611    0.26   -0.20    1.79    0.20
195612    3.25   -0.16   -1.95    0.24
195701   -3.48    3.78    2.22    0.27
195702   -2.11   -0.73   -0.66    0.24
195703    2.18    0.24   -0.36    0.23
195704    4.26   -1.86   -1.21    0.25
195705    3.40   -1.06   -2.20    0.26
195706   -0.75    0.63   -0.21    0.24
195707    0.59   -0.53    0.00    0.30
195708   -5.25   -0.01   -0.33    0.25
195709   -6.02    0.07    0.90    0.26
195710   -4.40   -2.56   -1.80    0.29
195711    2.27    0.34   -2.79    0.28
195712   -3.98   -0.92   -1.70    0.24
195801    4.71    4.34    4.21    0.28
195802   -1.53    0.72    0.23    0.12
195803    3.29    0.79   -1.22    0.09
195804    3.00   -0.66    1.63    0.08
195805    2.35    2.14   -0.20    0.11
195806    2.92   -0.24    0.50    0.03
195807    4.42    0.43    3.16    0.07
195808    1.87    1.19    0.32    0.04
195809    4.67    0.09    3.03    0.19
195810    2.57    1.17   -1.29    0.18
195811    2.94    2.05   -1.32    0.11
195812    5.07   -2.09    0.02    0.22
195901    0.71    3.01    2.94    0.21
195902    0.94    1.52    1.05    0.19
195903    0.23    1.46   -0.26    0.22
195904    3.59   -0.58   -1.25    0.20
195905    1.73   -2.18    1.87    0.22
195906   -0.19    0.66    1.40    0.25
195907    3.17   -0.30    0.20    0.25
195908   -1.43   -0.78    0.39    0.19
195909   -4.80   -0.10    0.50    0.31
195910    1.27    1.43   -2.06    0.30
195911    1.59    1.30   -3.29    0.26
195912    2.46   -0.56   -0.10    0.34
196001   -6.97    2.04    2.69    0.33
196002    1.13    0.56   -1.98    0.29
196003   -1.63   -0.43   -2.91    0.35
196004   -1.72    0.43   -2.39    0.19
196005    3.13    1.34   -3.79    0.27
196006    2.06   -0.16   -0.33    0.24
196007   -2.40   -0.50    2.14    0.13
196008    3.06    0.90   -0.39    0.17
196009   -6.02   -1.12    1.48    0.16
196010   -0.70   -3.92    2.59    0.22
196011    4.72    0.38   -2.49    0.13
196012    4.69   -1.51   -0.66    0.16
196101    6.20    0.84    3.75    0.19
196102    3.56    3.98   -0.86    0.14
196103    2.86    3.24   -0.70    0.20
196104    0.40    0.13    1.89    0.17
196105    2.40    1.97    0.52    0.18
196106   -3.05   -2.47   -0.29    0.20
196107    2.81   -1.90   -0.15    0.18
196108    2.55   -1.84   -0.24    0.14
196109   -2.17   -1.12   -0.49    0.17
196110    2.55   -2.02    0.46    0.19
196111    4.39    1.07   -0.92    0.15
196112   -0.12   -1.13    2.21    0.19
196201   -3.86    1.88    5.03    0.24
196202    1.75   -1.18    0.88    0.20
196203   -0.67    0.23   -0.98    0.20
196204   -6.57   -0.97    0.41    0.22
196205   -8.71   -3.00    2.30    0.24
196206   -8.46   -0.74    2.88    0.20
196207    6.28    1.58   -3.64    0.27
196208    2.11    1.29   -1.19    0.23
196209   -5.23   -2.56    1.46    0.21
196210   -0.04   -3.99    1.23    0.26
196211   10.81    2.66    0.99    0.20
196212    0.96   -3.80    0.31    0.23
196301    4.93    3.11    2.29    0.25
196302   -2.42    0.38    2.26    0.23
196303    3.06   -2.55    2.14    0.23
196304    4.49   -1.33    1.10    0.25
196305    1.77    1.09    2.77    0.24
196306   -2.03   -0.26    0.79    0.23
196307   -0.44   -0.50   -0.96    0.27
196308    5.02   -1.04    1.79    0.25
196309   -1.46   -0.33    0.18    0.27
196310    2.48   -0.55   -0.03    0.29
196311   -0.82   -1.11    1.65    0.27
196312    1.88   -1.99    0.01    0.29
196401    2.28   -0.17    1.54    0.30
196402    1.46    0.08    2.84    0.26
196403    1.45    0.95    3.43    0.31
196404    0.17   -1.37   -0.52    0.29
196405    1.48   -0.89    1.91    0.26
196406    1.21   -0.30    0.74    0.30
196407    1.71    0.18    0.79    0.30
196408   -1.41    0.11    0.13    0.28
196409    2.77   -0.58    1.75    0.28
196410    0.60    0.47    1.07    0.29
196411    0.02    0.65   -1.90    0.29
196412    0.06   -0.32   -2.55    0.31
196501    3.58    2.68    0.13    0.28
196502    0.39    3.43    0.27    0.30
196503   -1.33    1.82    1.03    0.36
196504    3.06    1.13    0.72    0.31
196505   -0.75    0.07   -1.62    0.31
196506   -5.54   -4.35    0.58    0.35
196507    1.37    0.84    2.24    0.31
196508    2.76    2.86   -1.04    0.33
196509    2.89    0.60   -0.08    0.31
196510    2.62    2.45    1.59    0.31
196511   -0.04    4.66    0.31    0.35
196512    1.02    2.09    1.98    0.33
196601    0.83    3.85    3.52    0.38
196602   -1.21    4.44    0.43    0.35
196603   -2.47    0.98   -2.05    0.38
196604    2.14    3.42   -0.44    0.34
196605   -5.66   -4.65   -1.62    0.41
196606   -1.41    1.05    0.59    0.38
196607   -1.64   -0.37    0.85    0.35
196608   -7.95   -3.32    0.54    0.41
196609   -1.10   -1.08    0.44    0.40
196610    3.78   -6.59    2.83    0.45
196611    1.35    4.45   -4.68    0.40
196612    0.22    1.96   -1.41    0.40
196701    8.12    8.42    2.03    0.43
196702    0.73    3.34   -2.20    0.36
196703    3.95    1.61    0.34    0.39
196704    3.84    0.57   -2.55    0.32
196705   -4.26    1.92    0.93    0.33
196706    2.42    5.98    0.92    0.27
196707    4.60    3.13    2.62    0.32
196708   -0.94    0.45    1.48    0.31
196709    3.11    3.07   -2.45    0.32
196710   -3.13    1.48   -3.43    0.39
196711    0.43    0.17   -1.69    0.36
196712    3.04    5.65   -0.31    0.33
196801   -4.03    3.96    4.69    0.40
196802   -3.75   -2.94    1.19    0.39
196803    0.13   -1.30   -0.56    0.38
196804    8.98    5.64   -0.99    0.43
196805    2.25    6.39    0.92    0.45
196806    0.72   -0.17    0.68    0.43
196807   -2.68   -1.38    5.48    0.48
196808    1.38    2.33    0.99    0.42
196809    4.02    2.74    0.34    0.43
196810    0.46   -0.47    2.89    0.44
196811    5.43    2.31   -0.81    0.42
196812   -3.82    3.44   -0.03    0.43
196901   -1.20   -0.80    1.73    0.53
196902   -5.82   -3.86    0.86    0.46
196903    2.59   -0.30   -0.42    0.46
196904    1.52   -0.85    0.06    0.53
196905    0.02   -0.21    0.64    0.48
196906   -7.25   -5.33   -1.13    0.51
196907   -7.05   -3.24    1.34    0.53
196908    4.65    0.89   -3.81    0.50
196909   -2.88    1.18   -3.20    0.62
196910    4.96    3.75   -3.15    0.60
196911   -3.74   -2.57   -1.15    0.52
196912   -2.61   -3.64   -3.00    0.64
197001   -7.93    2.93    3.04    0.60
197002    5.05   -2.45    3.94    0.62
197003   -1.04   -2.40    4.19    0.57
197004  -11.03   -6.13    6.32    0.50
197005   -6.96   -4.51    3.51    0.53
197006   -5.69   -2.15    0.81    0.58
197007    6.90   -0.56    0.97    0.52
197008    4.47    1.47    1.07    0.53
197009    4.21    8.57   -5.49    0.54
197010   -2.28   -4.16    0.23    0.46
197011    4.58   -4.07    1.71    0.46
197012    5.65    2.89    1.05    0.42
197101    4.82    7.43    1.38    0.38
197102    1.36    1.85   -1.32    0.33
197103    4.18    2.63   -3.95    0.30
197104    3.05   -0.48    0.86    0.28
197105   -3.93   -1.09   -1.34    0.29
197106   -0.06   -1.37   -2.07    0.37
197107   -4.43   -1.46    0.09    0.40
197108    3.78   -0.21    2.72    0.47
197109   -0.87    0.44   -2.95    0.37
197110   -4.44   -1.75   -0.45    0.37
197111   -0.50   -2.84   -1.73    0.37
197112    8.76    3.37   -0.24    0.37
197201    2.55    6.12    2.08    0.29
197202    2.88    1.35   -2.81    0.25
197203    0.60   -0.28   -1.68    0.27
197204    0.26   -0.01    0.22    0.29
197205    1.34   -2.77   -2.63    0.30
197206   -2.38    0.38   -2.50    0.29
197207   -0.74   -2.89    0.82    0.31
197208    3.31   -4.02    4.58    0.29
197209   -1.11   -2.65    0.44    0.34
197210    0.47   -2.66    1.25    0.40
197211    4.61   -1.12    4.87    0.37
197212    0.75   -1.84   -2.34    0.37
197301   -3.19   -3.45    2.71    0.44
197302   -4.85   -3.97    1.76    0.41
197303   -1.25   -2.87    2.69    0.46
197304   -5.70   -3.99    5.57    0.52
197305   -2.96   -6.03    0.18    0.51
197306   -1.37   -2.95    1.36    0.51
197307    5.06    7.89   -5.23    0.64
197308   -3.66   -2.10    1.23    0.70
197309    4.71    2.95    2.07    0.68
197310   -0.69   -0.20    1.79    0.65
197311  -12.63   -7.71    3.95    0.56
197312    0.50   -5.35    4.21    0.64
197401   -0.19    9.83    5.79    0.63
197402   -0.34   -0.05    2.53    0.58
197403   -2.90    2.41   -0.07    0.56
197404   -5.35   -0.80    0.96    0.75
197405   -4.95   -2.98   -1.97    0.75
197406   -2.89   -0.17    0.85    0.60
197407   -7.79    0.79    5.26    0.70
197408   -9.38   -0.67    2.53    0.60
197409  -11.78    0.30    5.54    0.81
197410   16.05   -3.43   -9.78    0.51
197411   -4.64   -1.15   -0.21    0.54
197412   -3.40   -4.90    0.18    0.70
197501   13.58   10.95    8.17    0.58
197502    5.41    0.18   -4.53    0.43
197503    2.61    3.72    2.52    0.41
197504    4.21   -0.52   -1.21    0.44
197505    5.07    3.92   -4.25    0.44
197506    4.74    0.75    1.32    0.41
197507   -6.52    2.66    1.67    0.48
197508   -2.84   -3.22   -0.84    0.48
197509   -4.33   -0.08    0.45    0.53
197510    5.03   -4.02    0.37    0.56
197511    2.71   -1.20    2.06    0.41
197512   -1.58   -0.77    1.75    0.48
197601   12.13    4.76    8.59    0.47
197602    0.39    7.00    5.83    0.34
197603    2.28   -1.17   -0.12    0.40
197604   -1.46   -0.04    0.01    0.42
197605   -1.31   -1.23   -1.31    0.37
197606    4.02   -1.34    0.79    0.43
197607   -1.09    0.29    1.74    0.47
197608   -0.56   -1.98    0.79    0.42
197609    2.01    0.02   -0.32    0.44
197610   -2.45    0.17   -0.12    0.41
197611    0.14    2.35    1.48    0.40
197612    5.76    2.99    2.27    0.40
197701   -3.99    4.82    4.29    0.36
197702   -1.93    1.06    0.46    0.35
197703   -1.30    1.02    1.04    0.38
197704    0.12   -0.10    3.43    0.38
197705   -1.45    1.25    0.90    0.37
197706    4.74    2.16   -0.66    0.40
197707   -1.70    2.13   -0.54    0.42
197708   -1.78    1.56   -2.76    0.44
197709   -0.27    1.46   -0.52    0.43
197710   -4.42    1.27    1.77    0.49
197711    4.04    3.71    0.31    0.50
197712    0.33    1.36   -0.32    0.49
197801   -6.01    2.20    3.30    0.49
197802   -1.39    3.62    0.89    0.46
197803    2.87    3.38    1.27    0.53
197804    7.74    0.39   -3.48    0.54
197805    1.81    4.63   -0.63    0.51
197806   -1.62    1.73    0.55    0.54
197807    5.11    0.28   -1.13    0.56
197808    3.69    5.07   -0.51    0.55
197809   -1.31   -0.40    1.91    0.62
197810  -11.78   -9.92    1.39    0.68
197811    2.68    3.08   -2.20    0.70
197812    0.99    1.27   -2.18    0.78
197901    4.18    3.66    2.19    0.77
197902   -3.41    0.46    1.17    0.73
197903    5.75    3.17   -0.67    0.81
197904    0.05    2.19    1.11    0.80
197905   -2.18    0.32    1.59    0.82
197906    3.88    1.17    1.43    0.81
197907    0.73    1.32    1.78    0.77
197908    5.70    2.03   -1.59    0.77
197909   -0.69   -0.27   -0.90    0.83
197910   -8.14   -3.31   -1.85    0.87
197911    5.37    2.81   -3.28    0.99
197912    1.87    4.20   -2.05    0.95
198001    5.76    1.67    1.79    0.80
198002   -0.79   -1.82    0.55    0.89
198003  -13.23   -6.63   -1.02    1.21
198004    3.97    0.99    1.09    1.26
198005    5.20    2.08    0.34    0.81
198006    3.16    1.74   -0.82    0.61
198007    6.41    4.25   -6.31    0.53
198008    1.72    3.90   -2.65    0.64
198009    2.20    0.91   -4.66    0.75
198010    1.06    2.53   -2.71    0.95
198011    9.54   -3.37   -8.48    0.96
198012   -4.75   -0.31    2.62    1.31
198101   -5.05    2.97    6.84    1.04
198102    0.48   -0.30    1.02    1.07
198103    3.41    3.54    0.71    1.21
198104   -2.21    4.41    2.28    1.08
198105    0.21    2.05   -0.47    1.15
198106   -2.37   -0.87    5.10    1.35
198107   -1.55   -2.22   -0.48    1.24
198108   -6.91   -1.93    4.77    1.28
198109   -7.62   -2.64    5.21    1.24
198110    4.81    2.25   -4.29    1.21
198111    3.51   -0.95    1.82    1.07
198112   -3.68    1.19    0.77    0.87
198201   -3.42   -1.18    3.08    0.80
198202   -6.03    0.51    5.97    0.92
198203   -1.99   -0.22    3.89    0.98
198204    3.20    1.50   -2.77    1.13
198205   -3.88    0.53    1.80    1.06
198206   -3.35   -0.35    1.51    0.96
198207   -3.10    0.89    0.23    1.05
198208   11.14   -4.15    1.15    0.76
198209    1.17    2.96    0.33    0.51
198210   11.27    2.30   -3.72    0.59
198211    4.56    4.76   -1.95    0.63
198212    0.78   -0.16    0.06    0.67
198301    3.50    2.69   -0.89    0.69
198302    2.40    3.24    0.71    0.62
